,location,bhk,total_sqft,bath,price,price_per_sqft
0,Electronic City Phase II,2,1056.0,2.0,39.07,3699.810606060606
1,Chikka Tirupathi,4,2600.0,5.0,120.0,4615.384615384615
2,Uttarahalli,3,1440.0,2.0,62.0,4305.555555555556
3,Lingadheeranahalli,3,1521.0,3.0,95.0,6245.890861275477
4,Kothanur,2,1200.0,2.0,51.0,4250.0
5,Whitefield,2,1170.0,2.0,38.0,3247.863247863248
6,Old Airport Road,4,2732.0,4.0,204.0,7467.0571010248905
7,Rajaji Nagar,4,3300.0,4.0,600.0,18181.81818181818
8,Marathahalli,3,1310.0,3.0,63.25,4828.244274809161
10,Whitefield,3,1800.0,2.0,70.0,3888.8888888888887
11,Whitefield,4,2785.0,5.0,295.0,10592.45960502693
12,7th Phase JP Nagar,2,1000.0,2.0,38.0,3800.0
13,Gottigere,2,1100.0,2.0,40.0,3636.3636363636365
14,Sarjapur,3,2250.0,3.0,148.0,6577.777777777777
15,Mysore Road,2,1175.0,2.0,73.5,6255.31914893617
16,Bisuvanahalli,3,1180.0,3.0,48.0,4067.7966101694915
17,Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,3896.103896103896
18,other,3,2770.0,4.0,290.0,10469.314079422382
19,other,2,1100.0,2.0,48.0,4363.636363636364
20,Kengeri,1,600.0,1.0,15.0,2500.0
21,Binny Pete,3,1755.0,3.0,122.0,6951.5669515669515
22,Thanisandra,4,2800.0,5.0,380.0,13571.42857142857
23,Bellandur,3,1767.0,3.0,103.0,5829.088851160159
24,other,1,510.0,1.0,25.25,4950.980392156863
25,other,3,1250.0,3.0,56.0,4480.0
26,Electronic City,2,660.0,1.0,23.1,3500.0
27,Whitefield,3,1610.0,3.0,81.0,5031.055900621118
28,Ramagondanahalli,2,1151.0,2.0,48.77,4237.185056472633
29,Electronic City,3,1025.0,2.0,47.0,4585.365853658536
30,Yelahanka,4,2475.0,4.0,186.0,7515.151515151515
31,Bisuvanahalli,3,1075.0,2.0,35.0,3255.813953488372
32,Hebbal,3,1760.0,2.0,123.0,6988.636363636364
33,Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,3389.84051978736
34,Kasturi Nagar,3,1925.0,3.0,125.0,6493.506493506494
35,Kanakpura Road,2,700.0,2.0,36.0,5142.857142857143
36,Electronics City Phase 1,2,1070.0,2.0,45.5,4252.336448598131
37,Kundalahalli,3,1724.0,3.0,125.0,7250.580046403712
38,Chikkalasandra,3,1290.0,2.0,56.12,4350.387596899225
39,Uttarahalli,2,1143.0,2.0,45.0,3937.0078740157483
40,Murugeshpalya,2,1296.0,2.0,81.0,6250.0
41,Sarjapur  Road,3,1254.0,3.0,38.0,3030.3030303030305
42,Ganga Nagar,1,600.0,1.0,38.0,6333.333333333333
43,Yelahanka,1,660.0,1.0,48.0,7272.727272727273
44,Kanakpura Road,2,1330.74,2.0,91.79,6897.665960292769
46,Doddathoguru,2,970.0,2.0,33.0,3402.061855670103
47,Whitefield,2,1459.0,2.0,94.82,6498.971898560658
48,KR Puram,2,800.0,1.0,130.0,16250.0
49,other,2,869.0,2.0,36.0,4142.692750287687
50,other,2,1270.0,2.0,50.0,3937.0078740157483
